gds_lclsf_cd,gds_lclsf_nm,gds_mclsf_cd,gds_mclsf_nm,gds_sclsf_cd,gds_sclsf_nm
"06","과실류","04","복숭아","E9","천도신비"
"06","과실류","04","복숭아","F1","금봉"
"06","과실류","04","복숭아","F2","금황"
"06","과실류","04","복숭아","F3","단호장"
"06","과실류","04","복숭아","F4","대극천"
"06","과실류","04","복숭아","F5","명품왕"
"06","과실류","04","복숭아","F6","우림상도"
"06","과실류","04","복숭아","F7","알찬"
"06","과실류","04","복숭아","F8","단황도엑셀라"
"06","과실류","04","복숭아","G1","조황"
"06","과실류","04","복숭아","G2","차돌"
"06","과실류","04","복숭아","G3","천황골드"
"06","과실류","04","복숭아","G4","키라라노키와미"
"06","과실류","04","복숭아","G5","햇살황귀비"
"06","과실류","04","복숭아","G6","초극천"
"06","과실류","04","복숭아","Z9","복숭아(수입)"
