시장명,시장코드
서울가락,110001
서울강서,110008
부산엄궁,210001
부산국제수산,210005
부산반여,210009
대구북부,220001
인천남촌,230001
인천삼산,230003
광주각화,240001
광주서부,240004
대전오정,250001
대전노은,250003
수원,310101
안양,310401
안산,310901
구리,311201
춘천,320101
원주,320201
강릉,320301
청주,330101
충주,330201
천안,340101
전주,350101
익산,350301
정읍,350402
순천,360301
포항,370101
안동,370401
구미,371501
창원팔용,380101
울산,380201
창원내서,380303
진주,380401
